194 996 132
171 646 131
175 447 173
1006 740 494
935 780 513
644 411 978
945 806 794
960 229 361
414 823 690
267 531 106
149 387 588
565 602 844
824 771 141
947 122 907
423 353 355
731 178 558
227 895 275
176 254 952
68 551 479
252 271 580
542 164 31
542 501 31
871 977 878
831 55 111
541 364 113
509 792 675 385
293 721 720 670
39 289 879 622
910 950 118 0
950 574 554 520
512 484 890 629
425 725 748 230
398 619 692 751
935 132 517 398
132 27 705 935
772 724 718 350
180 51 233 939
949 447 337 61
319 648 172 612
334 698 372 420
828 502 261 148
72 271 580 936
402 79 925 131
267 907 355 869
77 569 875 663
351 447 393 744
112 603 104 362
149 387 366 605
193 505 798 310
778 408 683 367
65 985 991 937
54 250 827 643
450 775 45 805
219 539 709 170
599 767 785 188
487 304 640 311
527 724 718 350
724 718 541 527
798 358 306 505
214 167 401 45
79 99 784 655
526 35 222 637
980 3 948 176
980 649 810 880
948 769 742 905
371 85 987 305
977 878 892 801
196 613 489 779
752 873 494 1006
457 792 675 961
134 444 904 575
353 373 342 423
865 93 232 859
333 316 60 482
316 920 110 827
577 703 376 957
703 473 419 867
895 551 479 999
650 164 31 911
468 851 288 115
913 303 391 409
185 792 800 235
858 761 239 647
302 800 681 679
600 372 754 271
878 307 732 409
173 259 332 390
304 640 17 487
832 471 933 738
269 723 466 398
641 309 460 383
341 207 476 345
